code,name,update_date,nav,nav_acc,dividend_ratio,volatility_20,momentum_20,drawdown,sharpe_20,mean_reversion
024112,华富富源三个月持有期债券A,2025-11-21,1.0036,1.0036,0.0,0.0009229040016466369,9.965122072741472e-05,-0.0054504013477356655,0.005837047936521168,-0.0027574214383306143
024528,工银稳健添益债券A,2025-11-21,1.0018,1.0018,0.0,0.001440842146931997,-0.005262635289445039,-0.008118811881188103,-0.18239719870409155,-0.005228063729749176
024529,工银稳健添益债券C,2025-11-21,1.0006,1.0006,0.0,0.001457429607258352,-0.005565493937586985,-0.008423347537409745,-0.1907494979258895,-0.005372736716020401
024948,招商瑞锦回报债券C,2025-11-21,0.9962,0.9962,0.0,0.0010531519877539993,-0.0036007201440289016,-0.006977671451355778,-0.17074234174858433,-0.0049641918954822055
011110,南方晖元6个月持有期债券C,2025-11-21,0.9951,0.9951,0.0,0.0007970130468419301,-0.002005816868919874,-0.03397728375885839,-0.12557466813124654,-0.0032403952581047325
004025,融通收益增强债券A,2025-11-21,1.2258,1.3978,0.14031652798172617,0.0013470779314500435,-0.003657644476956823,-0.01750193294440159,-0.13535854531283467,-0.004814366784928508
006064,红土创新增强收益债券C,2025-11-21,1.3622,1.4972,0.09910438995742182,0.0009992967012165982,-0.0005869405722670473,-0.0074250861840359835,-0.028901108408448836,-0.003270723729941941
485114,工银添颐债券A,2025-11-21,2.475,2.475,0.0,0.000985087820115654,-0.002016129032258007,-0.10098074827460952,-0.10196244621712765,-0.004064222767695464
004026,融通收益增强债券C,2025-11-21,1.2008,1.3578,0.1307461692205195,0.0013405272404939058,-0.003981420039814165,-0.031042603296938625,-0.1481466571143317,-0.004901737361348696
020020,国泰双利债券C,2025-11-21,1.7108,2.0998,0.22737900397474864,0.0016737257311918146,-0.0025071424406739595,-0.004692610323742722,-0.0741915329537892,-0.0029634853151580707
002712,广发集丰债券C,2025-11-21,1.1765,1.4157,0.2033149171270717,0.001471286767671951,-0.004905692294679742,-0.008544015687373058,-0.16640511111380507,-0.005931458699472781
005212,汇安稳裕债券A,2025-11-21,1.1449,1.2819,0.11966110577343,0.0026431469199282827,0.008100730826802849,-0.04314398745987897,0.15390781709074428,-0.003091122817710777
022753,汇安稳裕债券C,2025-11-21,1.1437,1.1437,0.0,0.0026503344016156017,0.008020447734884417,-0.04889812889812887,0.15199415804241953,-0.003142146159913955
019943,兴业恒益6个月持有期债券A,2025-11-21,1.1432,1.1432,0.0,0.0009953725912563533,-0.00470137558767203,-0.007207989578810225,-0.2362176259528582,-0.004510702032428258
019039,海富通添利收益一年持有期债券C,2025-11-21,1.1022,1.1022,0.0,0.0009773846486435269,-0.0007252946509518354,-0.0060420236270177004,-0.03665223388264625,-0.003327666654609818
002652,东方红汇利债券C,2025-11-21,1.1157,1.4157,0.268889486421081,0.0013343248460369992,-0.004194930382006579,-0.0061776061776062765,-0.15687301586205196,-0.0047634339541855085
002651,东方红汇利债券A,2025-11-21,1.1177,1.4627,0.308669589335242,0.0013341087898271478,-0.003921219142679067,-0.0056424201223658705,-0.14660070801665462,-0.004604272979062686
092002,大成债券C,2025-11-21,1.1314,2.3438,1.0715927169878028,0.0015550773029354525,8.839388314330066e-05,-0.0028504573495000763,0.0035805336730743223,-0.003360596891337873
013548,招商享利增强债券A,2025-11-21,1.0741,1.0741,0.0,0.0016427035284427717,-0.0017657992565055514,-0.0076681448632667905,-0.053011565594296574,-0.0036825067017909855
090002,大成债券A/B,2025-11-21,1.1158,2.4178,1.1668757841907156,0.0015659110980697115,0.0002689376961004797,-0.002763456382759302,0.009329830821712109,-0.0033362065500409043
019380,景顺长城景盛双益债券A,2025-11-21,1.0729,1.0729,0.0,0.001218547256465339,0.00018644541810375337,-0.007125670923561022,0.00822863831855971,-0.0032469493076426647
009309,国寿安保尊庆6个月持有期债券A,2025-11-21,1.0573,1.1373,0.07566442826066402,0.0018702806218436323,-0.0006616257088848387,-0.009234253854865357,-0.016805779876706853,-0.004106776180698285
013549,招商享利增强债券C,2025-11-21,1.0572,1.0572,0.0,0.0016220533598550228,-0.002076647158769096,-0.007696639759714648,-0.06330566246058093,-0.003806867438091331
021423,易方达悦丰稳健债券A,2025-11-21,1.0555,1.0555,0.0,0.0011751988794126225,-0.0023629489603024245,-0.006026932856201112,-0.1000887229366142,-0.0039633858639237345
009310,国寿安保尊庆6个月持有期债券C,2025-11-21,1.0422,1.1222,0.07676069852235662,0.0018744641730584954,-0.0009585889570551398,-0.009881771660490452,-0.024691707406339896,-0.00422787531350782
023471,南方泽享稳健添利债券A,2025-11-21,1.0404,1.0404,0.0,0.0018646390183214444,-0.0033528115719897444,-0.007346627230226162,-0.08916345451686021,-0.004554326610279859
023472,南方泽享稳健添利债券C,2025-11-21,1.0375,1.0375,0.0,0.001846496632871845,-0.003649284548160714,-0.007461972639433471,-0.09811163369679794,-0.004738881854111454
020192,南方晖元6个月持有期债券E,2025-11-21,1.012,1.012,0.0,0.0008255875458541545,-0.0017754981258630842,-0.004818566230701057,-0.10722782704837046,-0.0031422689348792106
011109,南方晖元6个月持有期债券A,2025-11-21,1.0085,1.0085,0.0,0.0008296930358473236,-0.0017816490151439934,-0.022487157119317737,-0.10706464902684906,-0.0031679195022265624
019685,华商鸿裕利率债债券,2025-11-21,1.0067,1.0157,0.008940101321148424,0.001336430121381057,-9.932459276917882e-05,-0.03183681250595737,-0.0030811988830283334,-0.003573160713048582
